P,T,C,G,D,S,bodySegment,skill,Mark,w,r2,peak,nt,n,r2_alpha
10,2,2,11,2,1,3,1,R_TH1,0.443365412311524,0.600099311013872,4.09677419354839,0.739697636273475,31,0.674507903830161
10,2,2,11,2,1,3,1,L_SK1,0.464414039807532,0.581307557922251,2,1.05110012835673,39,0.386023194766612
10,2,2,11,2,1,3,1,R_SK1,0.458899111908505,0.616226305059719,3.36111111111111,0.850589059694302,36,0.726095902869659
10,2,2,11,2,1,3,1,R_FM2,0.447086973079881,0.619417015459464,2.13157894736842,0.946932763520942,38,0.812526885256355
10,2,2,11,2,2,1,1,RUA1,0.440403889510926,0.576226297160733,4,0.87008981444927,34,0.83443352131581
10,2,2,11,2,2,1,1,LUA1,0.428917841610085,0.591468731937494,3.09375,0.858772021812081,32,0.808427741700193
10,2,2,11,2,2,1,1,LF1,0.450386390992339,0.5769556750029,3.28125,0.802459102348993,32,0.854704042949391
10,2,2,11,2,2,1,1,RF1,0.404967201348674,0.626355615265341,3.44827586206897,0.779319023374219,29,0.877792980552829
10,2,2,11,2,2,1,1,L_HM1,0.502651384482411,0.505867780693527,3.59459459459459,0.992324959187376,37,0.779264975822977
10,2,2,11,2,2,1,1,R_HM1,0.413233255039574,0.607943027555727,3.67567567567568,1.07349673499002,37,0.821286796620722
10,2,2,11,2,2,2,1,STRN,0.543069583202001,0.447656152100643,2.73333333333333,1.20968493661447,45,0.511330520541508
10,2,2,11,2,2,2,1,LFHD,0.409594818084414,0.624119109907572,2.30232558139535,1.09133564850944,43,0.82603248482434
10,2,2,11,2,2,2,1,L_IAS,0.488718406849526,0.533792641050737,3,0.77748159774843,31,0.732801659056078
10,2,2,11,2,2,2,1,R_IAS,0.50809084988382,0.471060810079815,3.02272727272727,1.12284548505186,44,0.451252477334565
10,2,2,11,2,2,3,1,L_TH1,0.46245173742939,0.58200602504489,1.92,1.39055369127517,50,0.594153666615306
10,2,2,11,2,2,3,1,R_TH1,0.433036080404023,0.60730634834218,3.39393939393939,0.857776591417531,33,0.75474301856065
10,2,2,11,2,2,3,1,L_SK1,0.486852441307678,0.538834873494217,2.01818181818182,1.57949206833435,55,0.413531995898999
10,2,2,11,2,2,3,1,R_SK1,0.418673623199648,0.653723124261298,3.67741935483871,0.801702208270188,31,0.651656914590919
10,2,2,11,2,2,3,1,L_FM2,0.446872949443355,0.59562581780174,1.45,0.833431208053691,20,0.636965802477766
10,2,2,11,2,2,3,1,R_FM2,0.480509247443399,0.627436830434004,2.35483870967742,0.835611063000649,31,0.853880146289759
10,2,2,12,1,1,1,1,RUA1,0.454536410433942,0.575626835418274,4.92592592592593,0.562118485586253,27,0.881041328616904
10,2,2,12,1,1,1,1,LUA1,0.497882106452632,0.527905061344027,3.80555555555556,0.694753184432448,36,0.821438309198947
10,2,2,12,1,1,1,1,LF1,0.51039144492419,0.468660887793133,4.72727272727273,0.670063608456749,33,0.936358836779254
10,2,2,12,1,1,1,1,RF1,0.443229052055673,0.565623311972426,5.13333333333333,0.613909177516672,30,0.899262838433219
10,2,2,12,1,1,1,1,L_HM1,0.454044008079153,0.529019851919073,7,0.506648073232358,23,0.848151483405391
10,2,2,12,1,1,1,1,R_HM1,0.490488573896446,0.520943261886665,4.34210526315789,0.978305560662533,38,0.686811943096509
10,2,2,12,1,1,2,1,STRN,0.518423475791852,0.482578893011242,4.09302325581395,0.87380268376081,43,0.54122935497257
10,2,2,12,1,1,2,1,LFHD,0.475878028603955,0.544285845812718,3.48717948717949,0.773945330629992,39,0.854825192224747
10,2,2,12,1,1,2,1,L_IAS,0.487420081198151,0.517569388821937,4.35897435897436,0.765200185651122,39,0.856635230358316
10,2,2,12,1,1,2,1,R_IAS,0.526360039749595,0.501216181782934,4.02702702702703,0.812707594860659,37,0.859686090146282
10,2,2,12,1,1,3,1,L_TH1,0.49467542927049,0.491126308897427,4.34375,0.635936011432201,32,0.831486909264782
10,2,2,12,1,1,3,1,R_TH1,0.488787778778212,0.5617602637319,3.52941176470588,0.652027721218687,34,0.88807359163615
10,2,2,12,1,1,3,1,L_SK1,0.511032747010826,0.495692237187067,3.30555555555556,0.70422709149289,36,0.893067000477384
10,2,2,12,1,1,3,1,R_SK1,0.489461977600102,0.529906726841582,3.25,0.982917857520906,48,0.467950127799542
10,2,2,12,1,1,3,1,L_FM2,0.548316558843192,0.504930469678994,2.66666666666667,0.549486609505663,27,0.760835000333122
10,2,2,12,1,1,3,1,R_FM2,0.540452801056892,0.555062054871311,1.41176470588235,0.966338520165132,17,0.687576423515651
10,2,2,12,1,2,1,1,RUA1,0.427057477014562,0.584951583637695,3.50980392156863,0.933278660006461,51,0.823878669724008
10,2,2,12,1,2,1,1,LUA1,0.423992210828872,0.61241494000557,4.21276595744681,0.738532481190842,47,0.834822382627836
10,2,2,12,1,2,1,1,LF1,0.506059120921157,0.497661047177961,4.02,0.796765525982256,50,0.84817444759368
10,2,2,12,1,2,1,1,RF1,0.462986262989374,0.555071545586551,4.25,0.855297845373891,40,0.730561094826621
10,2,2,12,1,2,1,1,L_HM1,0.466911644915232,0.592563187156929,3.52830188679245,0.880938374345362,53,0.792914427863028
10,2,2,12,1,2,1,1,R_HM1,0.481379711794457,0.533198006498892,3.85245901639344,1.11054457811299,61,0.626313807465745
10,2,2,12,1,2,2,1,STRN,0.53115990577055,0.459054554726911,3.98245614035088,0.962404109132146,57,0.512820772025816
10,2,2,12,1,2,2,1,LFHD,0.460512283190672,0.573302913938561,2.88888888888889,0.848659813171854,54,0.773929100990313
10,2,2,12,1,2,2,1,L_IAS,0.507008831451364,0.481168611885665,4.46938775510204,0.782468120327979,49,0.839458840731574
10,2,2,12,1,2,2,1,R_IAS,0.46215027449334,0.545040902307641,4.34042553191489,0.757840519914786,47,0.804845290576282
10,2,2,12,1,2,3,1,L_TH1,0.499400865807019,0.474714998007418,4.56862745098039,0.821178458709212,51,0.809144162346069
10,2,2,12,1,2,3,1,R_TH1,0.456543162490722,0.574962917519478,3.66071428571429,0.873447401774398,56,0.824253323471541
10,2,2,12,1,2,3,1,L_SK1,0.471548358743705,0.618081110824523,3.72222222222222,0.919241421396047,54,0.805727841175262
10,2,2,12,1,2,3,1,R_SK1,0.42352412543969,0.617562626669643,3.44827586206897,0.965368646475241,58,0.520666235519872
10,2,2,12,1,2,3,1,L_FM2,0.522023714300734,0.552456456985218,3.15625,0.547322560202788,32,0.728595296116431
10,2,2,12,1,2,3,1,R_FM2,0.44578053074597,0.614102353641263,1.85714285714286,0.434292956726417,21,0.268005504452228
10,2,2,12,2,1,1,1,RUA1,0.491370841485959,0.556618780032409,4.04166666666667,0.926090169992609,48,0.776322158426326
10,2,2,12,2,1,1,1,LUA1,0.499038355949625,0.527626215731609,3.60975609756098,0.809522199989184,41,0.777685898332372
10,2,2,12,2,1,1,1,LF1,0.424151937251763,0.593799275456477,3.53333333333333,0.812533875338753,45,0.821958329225065
10,2,2,12,2,1,1,1,RF1,0.450758813635132,0.588158013568879,4.30952380952381,0.760716925351072,42,0.815359699184157
10,2,2,12,2,1,1,1,L_HM1,0.463522342495337,0.539684523467678,3.65217391304348,0.869288055528777,46,0.813223626341661
10,2,2,12,2,1,1,1,R_HM1,0.457599325592911,0.600858978990951,3.69230769230769,0.938811188811189,52,0.824202931588719
10,2,2,12,2,1,2,1,STRN,0.476268455677912,0.527428361592696,3.47142857142857,1.2799889135255,70,0.570042316855395
10,2,2,12,2,1,2,1,LFHD,0.404127901050182,0.644762566443725,3.78571428571429,0.79615404920283,42,0.661823964743241
10,2,2,12,2,1,2,1,L_IAS,0.46727352928414,0.554157406131782,4,0.744179600886918,43,0.677574383883577
10,2,2,12,2,1,2,1,R_IAS,0.525596814641933,0.44073603940464,4.24074074074074,0.927927650488626,54,0.694356676827364
10,2,2,12,2,1,3,1,L_TH1,0.454065653974256,0.563256509316924,3.79166666666667,0.795858739837398,48,0.49026235555984
